yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Export,Libya,4,Dairy produce; birds eggs; natural honey;,World,World,9195,26.82,18.12,,
2016,2016,Export,Libya,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,457,26.82,18.12,,
2016,2016,Export,Libya,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,8738,26.82,18.12,,
