yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,531,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,63656,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,51168,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,27022,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,5406,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,126,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,World,World,3480616,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Afghanistan, Afghanistan,19450,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,75122,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,154600,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,686853,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,74850,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,128578,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,6317,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,145561,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,701871,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,632570,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,15921,34.9823018,33.1451285,,
