yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2012,2012.0,Export,Malta,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5473082.0,,35.8885993,14.4476911,-36.8535712,174.7456809
2012,2012.0,Export,Malta,Afghanistan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",9759.0,,35.8885993,14.4476911,33.7680065,66.2385139
2012,2012.0,Export,Malta,Australia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",129548.0,,35.8885993,14.4476911,-24.7761086,134.755
2012,2012.0,Export,Malta,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",674.0,,35.8885993,14.4476911,50.6402809,4.6667145
2012,2012.0,Export,Malta,Brunei Darussalam,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",796.0,,35.8885993,14.4476911,4.4137155,114.5653908
2012,2012.0,Export,Malta,Bulgaria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2354.0,,35.8885993,14.4476911,42.6073975,25.4856617
2012,2012.0,Export,Malta,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2626.0,,35.8885993,14.4476911,61.0666922,-107.991707
2012,2012.0,Export,Malta,China,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1687.0,,35.8885993,14.4476911,35.000074,104.999927
2012,2012.0,Export,Malta,Croatia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",33.0,,35.8885993,14.4476911,45.5643442,17.0118954
2012,2012.0,Export,Malta,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",22413.0,,35.8885993,14.4476911,46.603354,1.8883335
2012,2012.0,Export,Malta,Djibouti,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4248.0,,35.8885993,14.4476911,11.8145966,42.8453061
2012,2012.0,Export,Malta,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3480217.0,,35.8885993,14.4476911,51.1638175,10.4478313
2012,2012.0,Export,Malta,Guinea,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",12578.0,,35.8885993,14.4476911,10.7226226,-10.7083587
2012,2012.0,Export,Malta,Hungary,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",21.0,,35.8885993,14.4476911,47.1817585,19.5060937
2012,2012.0,Export,Malta,Iceland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",167.0,,35.8885993,14.4476911,64.9841821,-18.1059013
2012,2012.0,Export,Malta,Ireland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",11897.0,,35.8885993,14.4476911,52.865196,-7.9794599
2012,2012.0,Export,Malta,Israel,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8070.0,,35.8885993,14.4476911,30.8124247,34.8594762
2012,2012.0,Export,Malta,Italy,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",212711.0,,35.8885993,14.4476911,42.6384261,12.674297
2012,2012.0,Export,Malta,Japan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",50138.0,,35.8885993,14.4476911,36.5748441,139.2394179
2012,2012.0,Export,Malta,Liberia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1184.0,,35.8885993,14.4476911,5.7499721,-9.3658524
2012,2012.0,Export,Malta,Libya,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",400953.0,,35.8885993,14.4476911,26.8234472,18.1236723
2012,2012.0,Export,Malta,Malaysia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",945.0,,35.8885993,14.4476911,4.5693754,102.2656823
2012,2012.0,Export,Malta,Mauritius,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",24433.0,,35.8885993,14.4476911,-20.2759451,57.5703566
2012,2012.0,Export,Malta,New Zealand,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3184.0,,35.8885993,14.4476911,-41.5000831,172.8344077
2012,2012.0,Export,Malta,Nigeria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2215.0,,35.8885993,14.4476911,9.6000359,7.9999721
2012,2012.0,Export,Malta,Norway,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5737.0,,35.8885993,14.4476911,60.5000209,9.0999715
2012,2012.0,Export,Malta,Philippines,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3534.0,,35.8885993,14.4476911,12.7503486,122.7312101
