yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2013,2013,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,2798565
2013,2013,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,35318
2013,2013,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,16451
2013,2013,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Africa,Africa,3449
2013,2013,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,28471
2013,2013,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,178627
2013,2013,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,24909
2013,2013,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,1960533
2013,2013,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,23239
2013,2013,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,2860729
2013,2013,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,9377070
