yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,70221,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,213784,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,359165,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,406270,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,349935,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,3260089,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,5088709,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,2890333,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,703894,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;,World,World,124014400,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,1414179,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Djibouti, Djibouti,3568156,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,34800793,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,1202049,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,742257,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,617932,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Libya, Libya,1456296,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,76775,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,607839,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,12585117,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,36080689,21.0000287,57.0036901,,
2007,2007,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,6551102,21.0000287,57.0036901,,
