yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2007,2007,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1749754
2007,2007,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,5524214
2007,2007,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,23280
2007,2007,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,617
2007,2007,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,24779
2007,2007,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,9315
2007,2007,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,18032
2007,2007,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,270711
2007,2007,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,5908983
2007,2007,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,878405
2007,2007,Import,Georgia,25,Salt; sulfur; earths and stone; plastering materials,World,World,47515870
