yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Qatar,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",430973,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Export,Qatar,Jordan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",222700,25.3336984,51.2295295,31.1667049,36.941628
2016,2016,Export,Qatar,Kuwait,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",15109,25.3336984,51.2295295,29.2733964,47.4979476
2016,2016,Export,Qatar,Saudi Arabia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",70300,25.3336984,51.2295295,25.6242618,42.3528328
2016,2016,Export,Qatar,Thailand,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",80975,25.3336984,51.2295295,14.8971921,100.83273
2016,2016,Export,Qatar,United Arab Emirates,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",20431,25.3336984,51.2295295,24.0002488,53.9994829
2016,2016,Export,Qatar,United Kingdom,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",21455,25.3336984,51.2295295,54.7023545,-3.2765753
2017,2017,Export,Qatar,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",455740,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Export,Qatar,Bahrain,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",13543,25.3336984,51.2295295,26.1551249,50.5344606
2017,2017,Export,Qatar,Spain,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",38342,25.3336984,51.2295295,39.3260685,-4.8379791
2017,2017,Export,Qatar,United Arab Emirates,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4037,25.3336984,51.2295295,24.0002488,53.9994829
2017,2017,Export,Qatar,USA,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",399816,25.3336984,51.2295295,,
2018,2018,Export,Qatar,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",943168,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Export,Qatar,Iran,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",66522,25.3336984,51.2295295,32.6475314,54.5643516
2018,2018,Export,Qatar,Kuwait,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",741964,25.3336984,51.2295295,29.2733964,47.4979476
2018,2018,Export,Qatar,Oman,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",79335,25.3336984,51.2295295,21.0000287,57.0036901
2018,2018,Export,Qatar,Turkey,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",55345,25.3336984,51.2295295,38.9597594,34.9249653
2019,2019,Export,Qatar,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",106966,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Export,Qatar,Iran,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",78153,25.3336984,51.2295295,32.6475314,54.5643516
2019,2019,Export,Qatar,Oman,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",28813,25.3336984,51.2295295,21.0000287,57.0036901
2020,2020,Export,Qatar,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",245381,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Export,Qatar,China,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",34778,25.3336984,51.2295295,35.000074,104.999927
2020,2020,Export,Qatar,Kuwait,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",43795,25.3336984,51.2295295,29.2733964,47.4979476
2020,2020,Export,Qatar,Oman,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",134059,25.3336984,51.2295295,21.0000287,57.0036901
2020,2020,Export,Qatar,Philippines,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",32747,25.3336984,51.2295295,12.7503486,122.7312101
2021,2021,Export,Qatar,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",765667,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Export,Qatar,Kuwait,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",425368,25.3336984,51.2295295,29.2733964,47.4979476
2021,2021,Export,Qatar,Morocco,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",69639,25.3336984,51.2295295,31.1728205,-7.3362482
2021,2021,Export,Qatar,Oman,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",172100,25.3336984,51.2295295,21.0000287,57.0036901
2021,2021,Export,Qatar,India,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",58946,25.3336984,51.2295295,22.3511148,78.6677428
2021,2021,Export,Qatar,United Arab Emirates,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",39612,25.3336984,51.2295295,24.0002488,53.9994829
