yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,1433987,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,147970930,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,34558946,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,2070640,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,3164881,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,11941190,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,7411392,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,62791812,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,102698909,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,17518987,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,6994304,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,53522,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,6202839,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,14390645,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,World,World,711853543,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Azerbaijan, Azerbaijan,396,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,38618,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Cyprus, Cyprus,15295,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Djibouti, Djibouti,1105,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Iraq, Iraq,51670,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,1080214,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,475646,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,172494,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,29762,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,4096114,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,749826,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,16129,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,29115837,24.0002488,53.9994829,,
2006,2006,Import,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,5677,24.0002488,53.9994829,,
