yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,7437034,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,603789,25.62,42.35,40.12399607988535,20.742583178432696
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,1607790,25.62,42.35,6.06272746187266,22.727528470146083
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,113394,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,3626735,25.62,42.35,26.42921218083572,52.86847103284948
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1459979,25.62,42.35,47.92172048214207,7.866753258497997
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,37240667,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,1625934,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,250000,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,3832178,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,3923426,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,2168090,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,109658,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,113661,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,231590,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,2523213,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,4124600,25.62,42.35,,
2014,2014,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,3419958,25.62,42.35,,
