yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Central Asia,Asia,14988,28.0000272,2.9999825,39.89317229901691,61.060280637304274
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,1855568,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,35746,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,6650,28.0000272,2.9999825,,
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,39,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,4874,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,30402,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,67997,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,5930,28.0000272,2.9999825,25.499703063807168,75.5024015339642
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,745991,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Tunisia,Tunisia,19769,28.0000272,2.9999825,,
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,701315,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,2224307,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,8396981,28.0000272,2.9999825,,
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Morocco, Morocco,1065,28.0000272,2.9999825,,
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Pakistan, Pakistan,443628,28.0000272,2.9999825,,
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,State of Palestine, State of Palestine,745,28.0000272,2.9999825,,
2007,2007,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,5554,28.0000272,2.9999825,,
