yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,548901,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,26008,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,26,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,194352,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,555466,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,11031138,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,115350,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,73,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,World,World,209462689,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Afghanistan, Afghanistan,40312,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Algeria, Algeria,260,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,333335,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Djibouti, Djibouti,3948691,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,92376286,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,5415066,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,96728,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,515606,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,2663,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,107467,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,48793977,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,35079534,21.0000287,57.0036901,,
2010,2010,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,4636755,21.0000287,57.0036901,,
