yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,2498,34.9823018,33.1451285,39.89317229901691,61.060280637304274
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,1848,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,3295,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,263,34.9823018,33.1451285,,
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,155,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,3901,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,9592,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,9534,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,1633,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,6263,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,2345616,34.9823018,33.1451285,,
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Algeria, Algeria,30,34.9823018,33.1451285,,
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Bahrain, Bahrain,521,34.9823018,33.1451285,,
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Jordan, Jordan,265,34.9823018,33.1451285,,
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Lebanon, Lebanon,2293451,34.9823018,33.1451285,,
2007,2007,Re-Export,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,1483,34.9823018,33.1451285,,
