yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,855078,31.17,-7.33,-16.85099460447687,133.4130365630627
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,4397148,31.17,-7.33,39.89317229901691,61.060280637304274
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1665937,31.17,-7.33,37.977378106878206,73.97804075806764
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,262218415,31.17,-7.33,51.67568633314729,27.673469819741847
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,758875,31.17,-7.33,,
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,13514912,31.17,-7.33,17.925141963241547,-78.01492950057497
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,22784247,31.17,-7.33,43.897683433510366,-100.08947125585888
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,4626773,31.17,-7.33,59.36075159783851,25.01346951967388
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,80514,31.17,-7.33,10.528384761701911,103.08333472012376
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,151671,31.17,-7.33,25.499703063807168,75.5024015339642
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,69599802,31.17,-7.33,40.12399607988535,20.742583178432696
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,345570,31.17,-7.33,6.06272746187266,22.727528470146083
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,425049,31.17,-7.33,,
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,7614210,31.17,-7.33,26.42921218083572,52.86847103284948
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,39604556,31.17,-7.33,47.92172048214207,7.866753258497997
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,593953517,31.17,-7.33,,
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,423607,31.17,-7.33,,
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,10434,31.17,-7.33,,
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,7120540,31.17,-7.33,,
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,3092952,31.17,-7.33,,
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Mauritania, Mauritania,21,31.17,-7.33,,
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,38648484,31.17,-7.33,,
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,49554183,31.17,-7.33,,
2013,2013,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,65869243,31.17,-7.33,,
