yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,117000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2004,2004,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,104000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2004,2004,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,179000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2004,2004,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,12523000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2004,2004,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,8341000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2004,2004,Import,Israel,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,503000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2004,2004,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,2984000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2004,2004,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,29000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2004,2004,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,690000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2004,2004,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,16137000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2004,2004,Import,Israel,11,Products of the milling industry; malt; starches; inulin,World,World,41641000,30.8124247,34.8594762,,
