yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,7256,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,179129,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,178039,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,165474,35.8885993,14.4476911,,
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,7020,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,7863,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,458095,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,12335,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,26514936,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,43975,35.8885993,14.4476911,,
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,268818,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,524004,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,World,World,28729968,35.8885993,14.4476911,,
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,234,35.8885993,14.4476911,,
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Israel, Israel,6250,35.8885993,14.4476911,,
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,159435,35.8885993,14.4476911,,
2006,2006,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,11,35.8885993,14.4476911,,
