yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2003,2003,Re-Export,Comoros,33,"Essential oils, perfumes, cosmetics, toileteries",Sub-Saharan Africa,Africa,2260
2003,2003,Re-Export,Comoros,33,"Essential oils, perfumes, cosmetics, toileteries",World,World,2260
