yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Kuwait,World,1,Animals; live,153565186,,,-36.8535712,174.7456809
2016,2016,Import,Kuwait,Australia,1,Animals; live,67743750,,,-24.7761086,134.755
2016,2016,Import,Kuwait,Austria,1,Animals; live,565,,,47.59397,14.12456
2016,2016,Import,Kuwait,Bahrain,1,Animals; live,100451,,,26.1551249,50.5344606
2016,2016,Import,Kuwait,Armenia,1,Animals; live,516088,,,,
2016,2016,Import,Kuwait,Belgium,1,Animals; live,1110287,,,50.6402809,4.6667145
2016,2016,Import,Kuwait,Solomon Isds,1,Animals; live,29617,,,,
2016,2016,Import,Kuwait,Bulgaria,1,Animals; live,41298,,,42.6073975,25.4856617
2016,2016,Import,Kuwait,Canada,1,Animals; live,4523,,,61.0666922,-107.991707
2016,2016,Import,Kuwait,Central African Rep.,1,Animals; live,88190,,,,
2016,2016,Import,Kuwait,China,1,Animals; live,7425,,,35.000074,104.999927
2016,2016,Import,Kuwait,Congo,1,Animals; live,447296,,,-2.9814344,23.8222636
2016,2016,Import,Kuwait,Czechia,1,Animals; live,632030,,,,
2016,2016,Import,Kuwait,Denmark,1,Animals; live,194528,,,55.670249,10.3333283
2016,2016,Import,Kuwait,El Salvador,1,Animals; live,34548,,,,
2016,2016,Import,Kuwait,Equatorial Guinea,1,Animals; live,18511,,,1.613172,10.5170357
2016,2016,Import,Kuwait,Ethiopia,1,Animals; live,85424,,,10.2116702,38.6521203
2016,2016,Import,Kuwait,France,1,Animals; live,33247,,,46.603354,1.8883335
2016,2016,Import,Kuwait,Georgia,1,Animals; live,2662576,,,32.3293809,-83.1137366
2016,2016,Import,Kuwait,Germany,1,Animals; live,2945600,,,51.1638175,10.4478313
2016,2016,Import,Kuwait,Guinea,1,Animals; live,20417,,,10.7226226,-10.7083587
2016,2016,Import,Kuwait,"China, Hong Kong SAR",1,Animals; live,12187,,,22.350627,114.1849161
2016,2016,Import,Kuwait,Hungary,1,Animals; live,181569,,,47.1817585,19.5060937
2016,2016,Import,Kuwait,Indonesia,1,Animals; live,350,,,-2.4833826,117.8902853
2016,2016,Import,Kuwait,Iran,1,Animals; live,25199332,,,32.6475314,54.5643516
2016,2016,Import,Kuwait,Ireland,1,Animals; live,2955,,,52.865196,-7.9794599
