yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,12575,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,15312145,31.1667049,36.941628,37.977378106878206,73.97804075806764
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,8631620,31.1667049,36.941628,51.67568633314729,27.673469819741847
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,105638,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,120295,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,17600,31.1667049,36.941628,59.36075159783851,25.01346951967388
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1495792,31.1667049,36.941628,10.528384761701911,103.08333472012376
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,8609443,31.1667049,36.941628,25.499703063807168,75.5024015339642
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,897473,31.1667049,36.941628,40.12399607988535,20.742583178432696
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,6031068,31.1667049,36.941628,26.42921218083572,52.86847103284948
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,8533826,31.1667049,36.941628,47.92172048214207,7.866753258497997
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,World,World,186083430,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,15268,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,20689,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,3723186,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Israel, Israel,2160340,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,237031,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,924607,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,13677,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,50429,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,737721,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,376653,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,756384,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,State of Palestine, State of Palestine,137914,31.1667049,36.941628,,
2006,2006,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,1181032,31.1667049,36.941628,,
