yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,115614,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,141198,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,39480,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Africa,Africa,117616,25.3336984,51.2295295,19.569604022535763,12.47761721199581
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,1048839,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,1197672,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,1667190,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,1655729,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,132082,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,49769,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,182440,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,408722,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2012,2012,Import,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,26622137,25.3336984,51.2295295,,
