yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,784471,40.3936294,47.7872508,39.89317229901691,61.060280637304274
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,236388,40.3936294,47.7872508,37.977378106878206,73.97804075806764
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,8851054,40.3936294,47.7872508,51.67568633314729,27.673469819741847
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,39950,40.3936294,47.7872508,17.925141963241547,-78.01492950057497
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,9105,40.3936294,47.7872508,43.897683433510366,-100.08947125585888
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,67615,40.3936294,47.7872508,59.36075159783851,25.01346951967388
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,64480,40.3936294,47.7872508,10.528384761701911,103.08333472012376
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,759965,40.3936294,47.7872508,25.499703063807168,75.5024015339642
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,16976,40.3936294,47.7872508,40.12399607988535,20.742583178432696
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,227224,40.3936294,47.7872508,26.42921218083572,52.86847103284948
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,1560501,40.3936294,47.7872508,47.92172048214207,7.866753258497997
2010,2010,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,12619109,40.3936294,47.7872508,,
