yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,2608797
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,1216110
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,5547043
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,3022535
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,41017970
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,4697432
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,4076746
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1802019
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,5286896
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,253651
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,40874887
2008,2008,Import,Libya,4,Dairy produce; birds eggs; natural honey;,World,World,140594705
