yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,2487550,,,37.977378106878206,73.97804075806764
2007,2007,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,16990,,,,
2007,2007,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,115043,,,59.36075159783851,25.01346951967388
2007,2007,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,108034,,,10.528384761701911,103.08333472012376
2007,2007,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,320710,,,40.12399607988535,20.742583178432696
2007,2007,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,495,,,26.42921218083572,52.86847103284948
2007,2007,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,225599,,,47.92172048214207,7.866753258497997
2007,2007,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,7641054,,,,
2007,2007,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Pakistan, Pakistan,742747,,,,
2007,2007,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Saudi Arabia, Saudi Arabia,1967641,,,,
2007,2007,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,11040,,,,
