yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2018,2018.0,Export,Jordan,World,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",268123.0,,31.1667049,36.941628,-36.8535712,174.7456809
2018,2018.0,Export,Jordan,State of Palestine,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",38705.0,,31.1667049,36.941628,31.46242095,34.262716572130714
2018,2018.0,Export,Jordan,Israel,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",229418.0,,31.1667049,36.941628,30.8124247,34.8594762
