yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,10635,32.3293809,-83.1137366,39.89317229901691,61.060280637304274
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,149,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,9328,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1196,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,1203,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,39,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,7853,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,39095,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,198531,32.3293809,-83.1137366,,
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes, Armenia, Armenia,78849,32.3293809,-83.1137366,,
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes, Azerbaijan, Azerbaijan,49786,32.3293809,-83.1137366,,
2019,2019,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,392,32.3293809,-83.1137366,,
