yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,37974976,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,34901,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,3257044,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,8564435,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,1654258,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,11586063,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,20331586,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Polynesia,Oceania,172,16.3471243,47.8915271,-5.109184731250752,167.40343615892436
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1484458,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,187567,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,212216,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,663463,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,2339354,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,33285395,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,World,World,152533883,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Armenia, Armenia,195586,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,103658,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Djibouti, Djibouti,8788,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,409701,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,6760,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,1125,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,4763587,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,3328092,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,45538,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,1,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,14113471,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,State of Palestine, State of Palestine,526,16.3471243,47.8915271,,
2006,2006,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,53226,16.3471243,47.8915271,,
