yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,49377,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,2235,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,871475,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,154227,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1205994,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,4352,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1163345,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,1719,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,79898,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,881200,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4427963,35.8885993,14.4476911,,
2010,2010,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,12701,35.8885993,14.4476911,,
