yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Re-Export,Yemen,World,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1998,,,-36.8535712,174.7456809
2018,2018,Re-Export,Yemen,"Other Asia, nes",84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1998,,,,
