yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,14946,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,973,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,15,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,301,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,61065,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,27,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,158299,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,6999,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,554636,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Afghanistan, Afghanistan,26792,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Azerbaijan, Azerbaijan,4447,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Bahrain, Bahrain,786,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Djibouti, Djibouti,1361,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Georgia, Georgia,80446,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Iraq, Iraq,544,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Jordan, Jordan,3780,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Kuwait, Kuwait,3378,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Libya, Libya,44139,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Oman, Oman,63222,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Qatar, Qatar,69335,24.0002488,53.9994829,,
2013,2013,Re-Export,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,13563,24.0002488,53.9994829,,
