yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,384,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,100,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,159474,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1319,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,244473,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,World,World,620628,16.3471243,47.8915271,,
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,1189,16.3471243,47.8915271,,
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials, Djibouti, Djibouti,152,16.3471243,47.8915271,,
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,44,16.3471243,47.8915271,,
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,267,16.3471243,47.8915271,,
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,167346,16.3471243,47.8915271,,
2006,2006,Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,8680,16.3471243,47.8915271,,
