yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2006,2006,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,233
2006,2006,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,146685
2006,2006,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,32375
2006,2006,Re-Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,197417
