yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,14501,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,8218,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,24775,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,10747,35.8885993,14.4476911,25.499703063807168,75.5024015339642
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,10765,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,1360434,35.8885993,14.4476911,,
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Bahrain, Bahrain,46141,35.8885993,14.4476911,,
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Iraq, Iraq,26863,35.8885993,14.4476911,,
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,10990,35.8885993,14.4476911,,
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,64517,35.8885993,14.4476911,,
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,5602,35.8885993,14.4476911,,
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Libya, Libya,10538,35.8885993,14.4476911,,
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,46454,35.8885993,14.4476911,,
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,56489,35.8885993,14.4476911,,
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,739356,35.8885993,14.4476911,,
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,150818,35.8885993,14.4476911,,
2010,2010,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,4057,35.8885993,14.4476911,,
