yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,53867,25.62,42.35,,
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,231467,25.62,42.35,25.499703063807168,75.5024015339642
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,270400,25.62,42.35,26.42921218083572,52.86847103284948
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,6093341,25.62,42.35,,
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,563734,25.62,42.35,,
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,1236268,25.62,42.35,,
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,869601,25.62,42.35,,
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,289867,25.62,42.35,,
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,68267,25.62,42.35,,
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,32267,25.62,42.35,,
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,366400,25.62,42.35,,
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,408534,25.62,42.35,,
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,1592802,25.62,42.35,,
2002,2002,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,74933,25.62,42.35,,
