yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Australia and New Zealand,Oceania,20529,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2017,2017,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,4559258,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2017,2017,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,1984363,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2017,2017,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,1918617,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2017,2017,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,4479085,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2017,2017,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,3405665,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2017,2017,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,283701,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2017,2017,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,15649330,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2017,2017,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,39953,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2017,2017,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,8923791,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2017,2017,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,49871027,38.9597594,34.9249653,,
