yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,108846,31.17,-7.33,-16.85099460447687,133.4130365630627
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1442478,31.17,-7.33,37.977378106878206,73.97804075806764
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,363473728,31.17,-7.33,51.67568633314729,27.673469819741847
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,494765,31.17,-7.33,,
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,3199942,31.17,-7.33,17.925141963241547,-78.01492950057497
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,51193772,31.17,-7.33,43.897683433510366,-100.08947125585888
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,8682165,31.17,-7.33,59.36075159783851,25.01346951967388
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,4287404,31.17,-7.33,10.528384761701911,103.08333472012376
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,249489,31.17,-7.33,25.499703063807168,75.5024015339642
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,77407501,31.17,-7.33,40.12399607988535,20.742583178432696
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,99771,31.17,-7.33,6.06272746187266,22.727528470146083
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,122738,31.17,-7.33,,
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,7143843,31.17,-7.33,26.42921218083572,52.86847103284948
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,29338048,31.17,-7.33,47.92172048214207,7.866753258497997
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,769541323,31.17,-7.33,,
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,4680,31.17,-7.33,,
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,24507097,31.17,-7.33,,
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,208,31.17,-7.33,,
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,7932202,31.17,-7.33,,
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,1615,31.17,-7.33,,
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,9722914,31.17,-7.33,,
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,51592482,31.17,-7.33,,
2014,2014,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,128179827,31.17,-7.33,,
