yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,169867,25.62,42.35,-16.85099460447687,133.4130365630627
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,184800,25.62,42.35,37.977378106878206,73.97804075806764
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,1181068,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,57867,25.62,42.35,10.528384761701911,103.08333472012376
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,46667,25.62,42.35,6.06272746187266,22.727528470146083
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,71467,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,271733,25.62,42.35,26.42921218083572,52.86847103284948
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,189067,25.62,42.35,47.92172048214207,7.866753258497997
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,World,World,5530940,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Afghanistan, Afghanistan,34400,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Djibouti, Djibouti,112533,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,1206935,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,206934,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,186134,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,74400,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,320000,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,72800,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,1001868,25.62,42.35,,
2004,2004,Re-Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,96800,25.62,42.35,,
