yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,19233,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2004,2004,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,47439,30.3308401,71.247499,37.977378106878206,73.97804075806764
2004,2004,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,160566,30.3308401,71.247499,51.67568633314729,27.673469819741847
2004,2004,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,937915,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2004,2004,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,234472,30.3308401,71.247499,59.36075159783851,25.01346951967388
2004,2004,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1628726,30.3308401,71.247499,10.528384761701911,103.08333472012376
2004,2004,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,1171,30.3308401,71.247499,25.499703063807168,75.5024015339642
2004,2004,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,4491449,30.3308401,71.247499,40.12399607988535,20.742583178432696
2004,2004,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,3041108,30.3308401,71.247499,47.92172048214207,7.866753258497997
2004,2004,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,World,World,10609129,30.3308401,71.247499,,
2004,2004,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Iraq, Iraq,39014,30.3308401,71.247499,,
