yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Export,Comoros,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,60,,,-36.8535712,174.7456809
2016,2016,Export,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,732097,,,-36.8535712,174.7456809
2018,2018,Export,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,819058,,,-36.8535712,174.7456809
2019,2019,Export,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1122494,,,-36.8535712,174.7456809
2020,2020,Export,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,739811,,,-36.8535712,174.7456809
2016,2016,Export,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,658280,,,-36.8535712,174.7456809
2018,2018,Export,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1993757,,,-36.8535712,174.7456809
2019,2019,Export,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,4209781,,,-36.8535712,174.7456809
2020,2020,Export,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2354998,,,-36.8535712,174.7456809
2021,2021,Export,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5937604,,,-36.8535712,174.7456809
2017,2017,Export,Qatar,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,19267,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Export,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,4881653,,,-36.8535712,174.7456809
2018,2018,Export,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,16745142,,,-36.8535712,174.7456809
2019,2019,Export,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,12990642,,,-36.8535712,174.7456809
2020,2020,Export,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5112380,,,-36.8535712,174.7456809
2015,2015,Export,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,36865648,38.9597594,34.9249653,-36.8535712,174.7456809
2016,2016,Export,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,33464699,38.9597594,34.9249653,-36.8535712,174.7456809
2017,2017,Export,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,31415792,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Export,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,25934791,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Export,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,27043579,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Export,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,30006655,38.9597594,34.9249653,-36.8535712,174.7456809
