yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,2158,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2704512,31.1667049,36.941628,37.977378106878206,73.97804075806764
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,568162,31.1667049,36.941628,51.67568633314729,27.673469819741847
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,877927,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,409659,31.1667049,36.941628,19.569604022535763,12.47761721199581
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2544598,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1574822,31.1667049,36.941628,59.36075159783851,25.01346951967388
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,626318,31.1667049,36.941628,10.528384761701911,103.08333472012376
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,549,31.1667049,36.941628,25.499703063807168,75.5024015339642
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1817540,31.1667049,36.941628,40.12399607988535,20.742583178432696
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,4727,31.1667049,36.941628,6.06272746187266,22.727528470146083
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,908063,31.1667049,36.941628,26.42921218083572,52.86847103284948
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4903657,31.1667049,36.941628,47.92172048214207,7.866753258497997
2013,2013,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,20715672,31.1667049,36.941628,,
