yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1367915,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,280912,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,548,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,166701,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,425138,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,84,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,184120,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,813631,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1348122,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1129052,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,5751308,40.7696272,44.6736646,,
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes, Georgia, Georgia,3461,40.7696272,44.6736646,,
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,143,40.7696272,44.6736646,,
2015,2015,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,2098,40.7696272,44.6736646,,
