yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,50121,31.1728205,-7.3362482,19.569604022535763,12.47761721199581
2014,2014,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,64687,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2014,2014,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,43010,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2014,2014,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,68161298,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2014,2014,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,12,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2014,2014,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,World,World,69335632,31.1728205,-7.3362482,,
