yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,16477,29.2733964,47.4979476,-16.85099460447687,133.4130365630627
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,45051,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,5113,29.2733964,47.4979476,51.67568633314729,27.673469819741847
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,10955,29.2733964,47.4979476,17.925141963241547,-78.01492950057497
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Africa,Africa,15006,29.2733964,47.4979476,19.569604022535763,12.47761721199581
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,445043,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,723483,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,781884,29.2733964,47.4979476,10.528384761701911,103.08333472012376
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,949640,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,603768,29.2733964,47.4979476,40.12399607988535,20.742583178432696
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,924,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,1046739,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,1783169,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2011,2011,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,10339520,29.2733964,47.4979476,,
