yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Export,Qatar,Denmark,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",16984,25.3336984,51.2295295,55.670249,10.3333283
2018,2018,Export,Qatar,El Salvador,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",28021,25.3336984,51.2295295,,
2018,2018,Export,Qatar,Ethiopia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1041659,25.3336984,51.2295295,10.2116702,38.6521203
2018,2018,Export,Qatar,Finland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",239374,25.3336984,51.2295295,63.2467777,25.9209164
2018,2018,Export,Qatar,France,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6768966,25.3336984,51.2295295,46.603354,1.8883335
2018,2018,Export,Qatar,Djibouti,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",542069,25.3336984,51.2295295,11.8145966,42.8453061
2018,2018,Export,Qatar,Georgia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",114201,25.3336984,51.2295295,32.3293809,-83.1137366
2018,2018,Export,Qatar,Gambia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",129120,25.3336984,51.2295295,13.470062,-15.4900464
2018,2018,Export,Qatar,Germany,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",32604224,25.3336984,51.2295295,51.1638175,10.4478313
2018,2018,Export,Qatar,Ghana,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1231919,25.3336984,51.2295295,8.0300284,-1.0800271
2018,2018,Export,Qatar,Guinea,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",181244,25.3336984,51.2295295,10.7226226,-10.7083587
2018,2018,Export,Qatar,"China, Hong Kong SAR",87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",851183,25.3336984,51.2295295,22.350627,114.1849161
2018,2018,Export,Qatar,Indonesia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22197,25.3336984,51.2295295,-2.4833826,117.8902853
2018,2018,Export,Qatar,Iran,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1012534,25.3336984,51.2295295,32.6475314,54.5643516
2018,2018,Export,Qatar,Iraq,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",24809538,25.3336984,51.2295295,33.0955793,44.1749775
2018,2018,Export,Qatar,Italy,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4589946,25.3336984,51.2295295,42.6384261,12.674297
2018,2018,Export,Qatar,Côte d'Ivoire,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",77197,25.3336984,51.2295295,7.9897371,-5.5679458
2018,2018,Export,Qatar,Japan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1049063,25.3336984,51.2295295,36.5748441,139.2394179
2018,2018,Export,Qatar,Jordan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1008341,25.3336984,51.2295295,31.1667049,36.941628
2018,2018,Export,Qatar,Rep. of Korea,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2568161,25.3336984,51.2295295,,
2018,2018,Export,Qatar,Kuwait,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",80902201,25.3336984,51.2295295,29.2733964,47.4979476
2018,2018,Export,Qatar,Lebanon,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7198339,25.3336984,51.2295295,33.8750629,35.843409
2018,2018,Export,Qatar,Latvia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",186505,25.3336984,51.2295295,56.8406494,24.7537645
2018,2018,Export,Qatar,Liberia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13873,25.3336984,51.2295295,5.7499721,-9.3658524
2018,2018,Export,Qatar,Libya,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2217986,25.3336984,51.2295295,26.8234472,18.1236723
2018,2018,Export,Qatar,Malaysia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",301027,25.3336984,51.2295295,4.5693754,102.2656823
2018,2018,Export,Qatar,Mauritania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2524340,25.3336984,51.2295295,20.2540382,-9.2399263
2018,2018,Export,Qatar,Mauritius,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",198073,25.3336984,51.2295295,-20.2759451,57.5703566
2018,2018,Export,Qatar,Morocco,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",609532,25.3336984,51.2295295,31.1728205,-7.3362482
2018,2018,Export,Qatar,Oman,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",29328639,25.3336984,51.2295295,21.0000287,57.0036901
2018,2018,Export,Qatar,Netherlands,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9646183,25.3336984,51.2295295,52.2434979,5.6343227
2018,2018,Export,Qatar,Nigeria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",317736,25.3336984,51.2295295,9.6000359,7.9999721
2018,2018,Export,Qatar,Pakistan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",384062,25.3336984,51.2295295,30.3308401,71.247499
2018,2018,Export,Qatar,Paraguay,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",62088,25.3336984,51.2295295,,
2018,2018,Export,Qatar,Philippines,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1918786,25.3336984,51.2295295,12.7503486,122.7312101
2018,2018,Export,Qatar,Poland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",76923,25.3336984,51.2295295,52.215933,19.134422
2018,2018,Export,Qatar,Portugal,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",392448,25.3336984,51.2295295,39.6621648,-8.1353519
2018,2018,Export,Qatar,Guinea-Bissau,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",225494,25.3336984,51.2295295,,
2018,2018,Export,Qatar,Romania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",84615,25.3336984,51.2295295,45.9852129,24.6859225
