yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Re-Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,384,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2008,2008,Re-Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,559,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2008,2008,Re-Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,746,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2008,2008,Re-Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,World,World,447437,29.2733964,47.4979476,,
