yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,15267,31.1667049,36.941628,37.977378106878206,73.97804075806764
2005,2005,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,722907,31.1667049,36.941628,19.569604022535763,12.47761721199581
2005,2005,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,113215,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2005,2005,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,425986,31.1667049,36.941628,59.36075159783851,25.01346951967388
2005,2005,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,84509,31.1667049,36.941628,10.528384761701911,103.08333472012376
2005,2005,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,3451,31.1667049,36.941628,25.499703063807168,75.5024015339642
2005,2005,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1393502,31.1667049,36.941628,40.12399607988535,20.742583178432696
2005,2005,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,1601,31.1667049,36.941628,6.06272746187266,22.727528470146083
2005,2005,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,2965624,31.1667049,36.941628,26.42921218083572,52.86847103284948
2005,2005,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,2827787,31.1667049,36.941628,47.92172048214207,7.866753258497997
2005,2005,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,World,World,11023096,31.1667049,36.941628,,
