yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,18,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,104,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,273,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,179947,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,27506,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,31,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,6557300,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,772866,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,World,World,49003850,21.0000287,57.0036901,,
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,30265,21.0000287,57.0036901,,
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Djibouti, Djibouti,514870,21.0000287,57.0036901,,
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Iraq, Iraq,1300,21.0000287,57.0036901,,
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,605585,21.0000287,57.0036901,,
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,33326,21.0000287,57.0036901,,
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,202228,21.0000287,57.0036901,,
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,184161,21.0000287,57.0036901,,
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,29053664,21.0000287,57.0036901,,
2002,2002,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,10295999,21.0000287,57.0036901,,
