yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,5449,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,148237,30.3308401,71.247499,39.89317229901691,61.060280637304274
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,43040,30.3308401,71.247499,37.977378106878206,73.97804075806764
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,36819,30.3308401,71.247499,,
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,303769,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,46888,30.3308401,71.247499,59.36075159783851,25.01346951967388
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,7206,30.3308401,71.247499,6.06272746187266,22.727528470146083
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,155,30.3308401,71.247499,47.92172048214207,7.866753258497997
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,World,World,12564509,30.3308401,71.247499,,
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Afghanistan, Afghanistan,8885709,30.3308401,71.247499,,
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Azerbaijan, Azerbaijan,41626,30.3308401,71.247499,,
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,16799,30.3308401,71.247499,,
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,357740,30.3308401,71.247499,,
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,131177,30.3308401,71.247499,,
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,32095,30.3308401,71.247499,,
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,15178,30.3308401,71.247499,,
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,2257543,30.3308401,71.247499,,
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,220990,30.3308401,71.247499,,
2004,2004,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,14090,30.3308401,71.247499,,
