yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Re-Export,Kuwait,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,5610,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2007,2007,Re-Export,Kuwait,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,8712,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2007,2007,Re-Export,Kuwait,11,Products of the milling industry; malt; starches; inulin,World,World,83179,29.2733964,47.4979476,,
