yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,244227,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,880218,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,19796,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,32294,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1668494,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,230035,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,2996658,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,1808491,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,42541,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,6687,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,2629372,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,15580980,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Afghanistan, Afghanistan,126,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Algeria, Algeria,27242,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Azerbaijan, Azerbaijan,441618,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Bahrain, Bahrain,1602,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Cyprus, Cyprus,343925,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Georgia, Georgia,2232879,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Iraq, Iraq,496288,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Israel, Israel,510542,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Jordan, Jordan,15814,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Kuwait, Kuwait,17258,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Lebanon, Lebanon,20652,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Libya, Libya,753674,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Mauritania, Mauritania,266,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Morocco, Morocco,73741,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,2843,38.9597594,34.9249653,,
2010,2010,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Yemen, Yemen,2874,38.9597594,34.9249653,,
