yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,80329,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,61430,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,28760,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,21357,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Africa,Africa,76724,24.0002488,53.9994829,19.569604022535763,12.47761721199581
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,48863,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,14830,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,69454,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,1418496,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,17676,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,4689726,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,16413,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,37012,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2010,2010,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,9443577,24.0002488,53.9994829,,
