yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,86551,25.62,42.35,37.977378106878206,73.97804075806764
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,65349,25.62,42.35,51.67568633314729,27.673469819741847
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,5114864,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,104406,25.62,42.35,40.12399607988535,20.742583178432696
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,2429273,25.62,42.35,6.06272746187266,22.727528470146083
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,542375,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,388548,25.62,42.35,26.42921218083572,52.86847103284948
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,473889,25.62,42.35,47.92172048214207,7.866753258497997
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,32256088,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,1067570,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,2110261,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,156558,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,403035,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,1530436,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,4608018,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,1405520,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,1687722,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,771627,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,State of Palestine, State of Palestine,5166,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,6075577,25.62,42.35,,
2020,2020,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,2574978,25.62,42.35,,
