yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,4659064,40.3936294,47.7872508,-16.85099460447687,133.4130365630627
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,277,40.3936294,47.7872508,39.89317229901691,61.060280637304274
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,5399,40.3936294,47.7872508,37.977378106878206,73.97804075806764
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,8379903,40.3936294,47.7872508,51.67568633314729,27.673469819741847
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,306,40.3936294,47.7872508,,
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,41573,40.3936294,47.7872508,17.925141963241547,-78.01492950057497
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,12753,40.3936294,47.7872508,43.897683433510366,-100.08947125585888
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,1603809,40.3936294,47.7872508,59.36075159783851,25.01346951967388
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,180,40.3936294,47.7872508,10.528384761701911,103.08333472012376
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,384856,40.3936294,47.7872508,25.499703063807168,75.5024015339642
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,469062,40.3936294,47.7872508,40.12399607988535,20.742583178432696
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,4584024,40.3936294,47.7872508,26.42921218083572,52.86847103284948
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,2819499,40.3936294,47.7872508,47.92172048214207,7.866753258497997
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,World,World,23006799,40.3936294,47.7872508,,
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;, Georgia, Georgia,6000,40.3936294,47.7872508,,
2006,2006,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,40092,40.3936294,47.7872508,,
