yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,5111,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,36951,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,721974,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,25354,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,916123,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,27364,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,13770,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,4266031,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,3059,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,3758338,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,9804187,34.9823018,33.1451285,,
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,8357,34.9823018,33.1451285,,
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Malta, Malta,3894,34.9823018,33.1451285,,
2010,2010,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,1789,34.9823018,33.1451285,,
