yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,170954,33.0955793,44.1749775,37.977378106878206,73.97804075806764
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,9900,33.0955793,44.1749775,,
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,5650,33.0955793,44.1749775,17.925141963241547,-78.01492950057497
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,16322,33.0955793,44.1749775,43.897683433510366,-100.08947125585888
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,60760,33.0955793,44.1749775,25.499703063807168,75.5024015339642
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,34400,33.0955793,44.1749775,40.12399607988535,20.742583178432696
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,39457,33.0955793,44.1749775,26.42921218083572,52.86847103284948
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4250,33.0955793,44.1749775,47.92172048214207,7.866753258497997
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,24661568,33.0955793,44.1749775,,
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,43970,33.0955793,44.1749775,,
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,338864,33.0955793,44.1749775,,
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,188546,33.0955793,44.1749775,,
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,76770,33.0955793,44.1749775,,
2014,2014,Import,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,23567706,33.0955793,44.1749775,,
