yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2009,2009.0,Import,Comoros,World,81.0,Other base metals; cermets; articles thereof,16000.0,,-12.2045176,44.2832964,-36.8535712,174.7456809
2009,2009.0,Import,Comoros,China,81.0,Other base metals; cermets; articles thereof,14041.0,,-12.2045176,44.2832964,35.000074,104.999927
2009,2009.0,Import,Comoros,France,81.0,Other base metals; cermets; articles thereof,14.0,,-12.2045176,44.2832964,46.603354,1.8883335
2009,2009.0,Import,Comoros,United Arab Emirates,81.0,Other base metals; cermets; articles thereof,468.0,,-12.2045176,44.2832964,24.0002488,53.9994829
2009,2009.0,Import,Comoros,United Rep. of Tanzania,81.0,Other base metals; cermets; articles thereof,1475.0,,-12.2045176,44.2832964,,
