yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,25340,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,12304741,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,431569,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,21237805,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,2002627,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Melanesia,Oceania,316,38.9597594,34.9249653,1.0108650891006263,147.3257485906919
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,9440829,38.9597594,34.9249653,19.569604022535763,12.47761721199581
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,483361,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1225479,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,516122,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,74834455,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,7604555,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,1554803,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1368572,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4690665,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2012,2012,Export,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,183443560,38.9597594,34.9249653,,
