yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Turkey,World,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20425689909,38.9597594,34.9249653,-36.8535712,174.7456809
2016,2016,Export,Turkey,Afghanistan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1393048,38.9597594,34.9249653,33.7680065,66.2385139
2016,2016,Export,Turkey,Albania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5531452,38.9597594,34.9249653,41.000028,19.9999619
2016,2016,Export,Turkey,Algeria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",115145198,38.9597594,34.9249653,28.0000272,2.9999825
2016,2016,Export,Turkey,Andorra,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",109,38.9597594,34.9249653,,
2016,2016,Export,Turkey,Angola,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3930544,38.9597594,34.9249653,-11.8775768,17.5691241
2016,2016,Export,Turkey,Antigua and Barbuda,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",65160,38.9597594,34.9249653,17.2234721,-61.9554608
2016,2016,Export,Turkey,Azerbaijan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",37814902,38.9597594,34.9249653,40.3936294,47.7872508
2016,2016,Export,Turkey,Argentina,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",31383114,38.9597594,34.9249653,-34.9964963,-64.9672817
2016,2016,Export,Turkey,Australia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",66768926,38.9597594,34.9249653,-24.7761086,134.755
2016,2016,Export,Turkey,Austria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",251897177,38.9597594,34.9249653,47.59397,14.12456
2016,2016,Export,Turkey,Bahrain,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12646793,38.9597594,34.9249653,26.1551249,50.5344606
2016,2016,Export,Turkey,Bangladesh,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1061164,38.9597594,34.9249653,24.4769288,90.2934413
2016,2016,Export,Turkey,Barbados,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1856,38.9597594,34.9249653,13.1500331,-59.5250305
2016,2016,Export,Turkey,Belgium,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",822643700,38.9597594,34.9249653,50.6402809,4.6667145
2016,2016,Export,Turkey,Bolivia (Plurinational State of),87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",920264,38.9597594,34.9249653,,
2016,2016,Export,Turkey,Bosnia Herzegovina,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12180035,38.9597594,34.9249653,44.3053476,17.5961467
2016,2016,Export,Turkey,Botswana,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",991421,38.9597594,34.9249653,,
2016,2016,Export,Turkey,Brazil,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",50390429,38.9597594,34.9249653,-10.3333333,-53.2
2016,2016,Export,Turkey,Brunei Darussalam,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",440910,38.9597594,34.9249653,,
2016,2016,Export,Turkey,Bulgaria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",160044812,38.9597594,34.9249653,42.6073975,25.4856617
2016,2016,Export,Turkey,Myanmar,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3827842,38.9597594,34.9249653,,
2016,2016,Export,Turkey,Burundi,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",51000,38.9597594,34.9249653,,
2016,2016,Export,Turkey,Belarus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12809517,38.9597594,34.9249653,53.4250605,27.6971358
2016,2016,Export,Turkey,Cambodia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1607165,38.9597594,34.9249653,12.5433216,104.8144914
2016,2016,Export,Turkey,Cameroon,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5785631,38.9597594,34.9249653,4.6125522,13.1535811
2016,2016,Export,Turkey,Canada,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",33894098,38.9597594,34.9249653,61.0666922,-107.991707
2016,2016,Export,Turkey,Cabo Verde,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",300227,38.9597594,34.9249653,,
