yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Import,Bahrain,World,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2297645.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2015,2015.0,Import,Bahrain,Azerbaijan,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",94.0,,26.1551249,50.5344606,40.3936294,47.7872508
2015,2015.0,Import,Bahrain,Australia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",121.0,,26.1551249,50.5344606,-24.7761086,134.755
2015,2015.0,Import,Bahrain,Bangladesh,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",8057.0,,26.1551249,50.5344606,24.4769288,90.2934413
2015,2015.0,Import,Bahrain,Belgium,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",6472.0,,26.1551249,50.5344606,50.6402809,4.6667145
2015,2015.0,Import,Bahrain,Bosnia Herzegovina,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",24.0,,26.1551249,50.5344606,44.3053476,17.5961467
2015,2015.0,Import,Bahrain,Solomon Isds,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",84.0,,26.1551249,50.5344606,,
2015,2015.0,Import,Bahrain,Bulgaria,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",197.0,,26.1551249,50.5344606,42.6073975,25.4856617
2015,2015.0,Import,Bahrain,Myanmar,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1962.0,,26.1551249,50.5344606,17.1750495,95.9999652
2015,2015.0,Import,Bahrain,Canada,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",5111.0,,26.1551249,50.5344606,61.0666922,-107.991707
2015,2015.0,Import,Bahrain,Sri Lanka,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",391.0,,26.1551249,50.5344606,7.5554942,80.7137847
2015,2015.0,Import,Bahrain,China,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1237761.0,,26.1551249,50.5344606,35.000074,104.999927
2015,2015.0,Import,Bahrain,Czechia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",80.0,,26.1551249,50.5344606,49.7439047,15.3381061
2015,2015.0,Import,Bahrain,Denmark,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",93.0,,26.1551249,50.5344606,55.670249,10.3333283
2015,2015.0,Import,Bahrain,Finland,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",341.0,,26.1551249,50.5344606,63.2467777,25.9209164
2015,2015.0,Import,Bahrain,France,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",8004.0,,26.1551249,50.5344606,46.603354,1.8883335
2015,2015.0,Import,Bahrain,Germany,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",12004.0,,26.1551249,50.5344606,51.1638175,10.4478313
2015,2015.0,Import,Bahrain,Greece,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",565.0,,26.1551249,50.5344606,38.9953683,21.9877132
2015,2015.0,Import,Bahrain,"China, Hong Kong SAR",46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",6922.0,,26.1551249,50.5344606,22.350627,114.1849161
2015,2015.0,Import,Bahrain,Hungary,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",990.0,,26.1551249,50.5344606,47.1817585,19.5060937
