yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,69105042,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,26436815,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,66039775,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,139100757,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Melanesia,Oceania,158,31.1728205,-7.3362482,1.0108650891006263,147.3257485906919
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,4423439,31.1728205,-7.3362482,19.569604022535763,12.47761721199581
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,140004783,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,31400808,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,17975212,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,2662202,31.1728205,-7.3362482,25.499703063807168,75.5024015339642
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,139320965,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,8265122,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,12690265,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,49820313,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2007,2007,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,794275086,31.1728205,-7.3362482,,
