yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,2600,33.87,35.84,-16.85099460447687,133.4130365630627
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,50,33.87,35.84,39.89317229901691,61.060280637304274
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,454,33.87,35.84,37.977378106878206,73.97804075806764
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,1253,33.87,35.84,51.67568633314729,27.673469819741847
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,1,33.87,35.84,,
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,17760,33.87,35.84,17.925141963241547,-78.01492950057497
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,15285,33.87,35.84,43.897683433510366,-100.08947125585888
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,28994,33.87,35.84,59.36075159783851,25.01346951967388
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,59,33.87,35.84,10.528384761701911,103.08333472012376
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,87320,33.87,35.84,6.06272746187266,22.727528470146083
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,204,33.87,35.84,26.42921218083572,52.86847103284948
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,12769,33.87,35.84,47.92172048214207,7.866753258497997
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,664767,33.87,35.84,,
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Algeria, Algeria,4084,33.87,35.84,,
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,303,33.87,35.84,,
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,50,33.87,35.84,,
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Iraq, Iraq,23907,33.87,35.84,,
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,318450,33.87,35.84,,
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,18089,33.87,35.84,,
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,77162,33.87,35.84,,
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,16947,33.87,35.84,,
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,29020,33.87,35.84,,
2007,2007,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,9240,33.87,35.84,,
