yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Import,Oman,United Arab Emirates,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,55991058,,,24.0002488,53.9994829
2018,2018,Import,Oman,Tunisia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1831063,,,33.8439408,9.400138
2018,2018,Import,Oman,Turkey,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,945146,,,38.9597594,34.9249653
2018,2018,Import,Oman,Uganda,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,631,,,1.5333554,32.2166578
2018,2018,Import,Oman,Ukraine,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,24394905,,,49.4871968,31.2718321
2018,2018,Import,Oman,Egypt,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7417,,,26.2540493,29.2675469
2018,2018,Import,Oman,United Kingdom,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,71898,,,54.7023545,-3.2765753
2018,2018,Import,Oman,United Rep. of Tanzania,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,101,,,,
2018,2018,Import,Oman,Free Zones,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,15981,,,,
2018,2018,Import,Oman,USA,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,11222737,,,,
2018,2018,Import,Oman,Uruguay,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,105773,,,-32.8755548,-56.0201525
2018,2018,Import,Oman,Yemen,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,56923,,,16.3471243,47.8915271
