yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,112159,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,14512,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,100130,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,26679432,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,148393,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,6896745,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,3266130,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,360092,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,World,World,352305966,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,1710820,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Comoros, Comoros,45774,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Djibouti, Djibouti,5877577,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,174599764,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,3380455,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,675675,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,198934,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,2133728,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,76775,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,7136985,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,49948119,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,48164898,21.0000287,57.0036901,,
2008,2008,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,6902858,21.0000287,57.0036901,,
