yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2016,2016,Import,Comoros,21,Miscellaneous edible preparations,Australia and New Zealand,Oceania,22
2016,2016,Import,Comoros,21,Miscellaneous edible preparations,Eastern Asia,Asia,97345
2016,2016,Import,Comoros,21,Miscellaneous edible preparations,Northern Africa,Africa,15025
2016,2016,Import,Comoros,21,Miscellaneous edible preparations,Northern America,Americas,584
2016,2016,Import,Comoros,21,Miscellaneous edible preparations,Northern Europe,Europe,258
2016,2016,Import,Comoros,21,Miscellaneous edible preparations,South-eastern Asia,Asia,21893
2016,2016,Import,Comoros,21,Miscellaneous edible preparations,Southern Europe,Europe,2062
2016,2016,Import,Comoros,21,Miscellaneous edible preparations,Sub-Saharan Africa,Africa,68364
2016,2016,Import,Comoros,21,Miscellaneous edible preparations,Western Europe,Europe,418407
2016,2016,Import,Comoros,21,Miscellaneous edible preparations,World,World,813387
