yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,9964546,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,3793871,25.62,42.35,25.499703063807168,75.5024015339642
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,311200,25.62,42.35,6.06272746187266,22.727528470146083
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,8333344,25.62,42.35,26.42921218083572,52.86847103284948
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,40997385,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,756534,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,2118669,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,95733,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,1756269,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,2789870,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,2184269,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,1416535,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,240000,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,1890402,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,3048804,25.62,42.35,,
2010,2010,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,2068269,25.62,42.35,,
