yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2019,2019.0,Import,Afghanistan,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",388449723.0,,33.7680065,66.2385139,-36.8535712,174.7456809
2019,2019.0,Import,Afghanistan,American Samoa,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",610409.0,,33.7680065,66.2385139,-14.297124,-170.7131481
2019,2019.0,Import,Afghanistan,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",24609.0,,33.7680065,66.2385139,-24.7761086,134.755
2019,2019.0,Import,Afghanistan,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",452.0,,33.7680065,66.2385139,47.59397,14.12456
2019,2019.0,Import,Afghanistan,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",37000.0,,33.7680065,66.2385139,50.6402809,4.6667145
2019,2019.0,Import,Afghanistan,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1299.0,,33.7680065,66.2385139,-10.3333333,-53.2
2019,2019.0,Import,Afghanistan,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1855434.0,,33.7680065,66.2385139,53.4250605,27.6971358
2019,2019.0,Import,Afghanistan,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6555855.0,,33.7680065,66.2385139,61.0666922,-107.991707
2019,2019.0,Import,Afghanistan,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19585013.0,,33.7680065,66.2385139,35.000074,104.999927
2019,2019.0,Import,Afghanistan,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",767.0,,33.7680065,66.2385139,49.7439047,15.3381061
2019,2019.0,Import,Afghanistan,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",42124.0,,33.7680065,66.2385139,55.670249,10.3333283
2019,2019.0,Import,Afghanistan,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",207409.0,,33.7680065,66.2385139,46.603354,1.8883335
2019,2019.0,Import,Afghanistan,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",52944867.0,,33.7680065,66.2385139,51.1638175,10.4478313
2019,2019.0,Import,Afghanistan,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20820.0,,33.7680065,66.2385139,22.350627,114.1849161
2019,2019.0,Import,Afghanistan,Hungary,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",897.0,,33.7680065,66.2385139,47.1817585,19.5060937
2019,2019.0,Import,Afghanistan,Indonesia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14286.0,,33.7680065,66.2385139,-2.4833826,117.8902853
2019,2019.0,Import,Afghanistan,Iran,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4975584.0,,33.7680065,66.2385139,32.6475314,54.5643516
2019,2019.0,Import,Afghanistan,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",435478.0,,33.7680065,66.2385139,42.6384261,12.674297
2019,2019.0,Import,Afghanistan,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",153237109.0,,33.7680065,66.2385139,36.5748441,139.2394179
2019,2019.0,Import,Afghanistan,Rep. of Korea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10133974.0,,33.7680065,66.2385139,,
2019,2019.0,Import,Afghanistan,Liberia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",91435.0,,33.7680065,66.2385139,5.7499721,-9.3658524
2019,2019.0,Import,Afghanistan,Malaysia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11587.0,,33.7680065,66.2385139,4.5693754,102.2656823
2019,2019.0,Import,Afghanistan,Malta,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",52.0,,33.7680065,66.2385139,35.8885993,14.4476911
